sno,project_id,ro_pd_name,project_name,project_number,land_required_ha,land_available_ha,land_to_be_acquired_ha,url
1060,60120,CE-NH (PWD Mahrashtra),Construction Of Four Lane Flyovers At Nagpur RTO Chowk To Nagpur University Campus From Ch.(Km. 2/250 To Km. 5/100) and Four lane flyover at Wadi /MIDC junction from Ch.( Km. 8+360 to Km 10+300) On NH 53 in State Of Maharashtra on Epc Mode.,,9.0025,8.55,0.4525,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60120
1061,60127,CE-NH (PEW) Andhra Pradesh,Construction of new 2 lane major Bridge including approaches from Km.738.800 to Km.739.800 across pennar river on NH-67 at Nellore in the state of Andhra Pradesh under NH(O) for the year 2021-22 on EPC mode,,20,10,10,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60127
1062,60135,RO Ranchi,"Widening and strengthening /Reconstruction to 2-lane with paved shoulder/2- Lane paved shoulder with service road from km 0+42+250) (excluding design Ch.03+220 to 04+200 & 28+350 to 29+060), package-I of NH-320G in the state of Jharkhand under EPC mode.",,500,0,500,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60135
1063,60137,(RO Bangalore),Widening to 4 lane divided carriageway from Km.278.00 to Km.286.40 in Sagara Town limits on Tumkur – Honnavara section of NH 206 in the State of Karnataka on EPC mode. (Job No. NH-206-KNT-2020-21-921).,,19,0,19,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60137
1064,60138,CE-NH (PWD) West Bengal,Development to 4/6-lanning of NH-31 (New NH-10) with both side service roads from km 569.258 to km 581.030 (end of AH-02 project on NH- 31 near Shivmandir to Sevoke Army Cantonment) in districts of Darjeeling and Jalpaiguri in the state of West Bengal on EPC Mode (Job No. 010/WB/2021-22/490),,4,0,4,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60138
1065,60140,RO Ranchi,Upgradation to Two Lane with paved shoulder NEW-NH-320G in km 122.700. to km 180.000 (Hatgamharia-Jagannathpur-Baraiburu-Saddle-Manoharpur-Anandpur-Bano-Kolebira Road) in the State of Jharkhand.,,100,0,100,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60140
1066,60141,CE-NH (PWD) Uttar Pradesh,Consultancy services for feasibility study and preparation of Detailed Project Report for improvement and up- gradation of in principle and newly declared National Highway 135A Mariahu Bypass in the stretch of Bhadohi to Jaunpur in the State of Uttar Pradesh. (From Ex. Km 53.550 to Km 59.200 of NH-135A),,55,0,55,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60141
1067,60142,CE-NH (PWD) Uttar Pradesh,"Rehabilitation and Up-gradation to two lane with Paved Shoulder/4-lane configuration from existing km. 150.00 to km.190.000 (Design length 37.225) of NH-227A (Barhalganj to Mehrouna ghat) in the state of Uttar Pradesh on Engineering, Procurement &Construction (EPC) basis Contract",,200,68,132,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60142
1068,60146,CE-NH (PWD) West Bengal,Development to 4/6-lanning of NH-31 (New NH-10) with both side service roads from km 569.258 to km 581.030 (end of AH-02 project on NH- 31 near Shivmandir to Sevoke Army Cantonment) in districts of Darjeeling and Jalpaiguri in the state of West Bengal on EPC Mode (Job No. 010/WB/2021-22/490),,3,0,3,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60146
1069,60148,CE-NH (PWD) Uttar Pradesh,Land Acquisition on National Highway No.727AA from Km 24.100 (Pipraghat Gandak river) to Km 38.200( Tiwari Patti ) in kushinagar District in the state of Uttar Pradesh.,,100,0,100,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60148
1070,60149,CE-NH (PWD) Uttar Pradesh,"Rehabilitation and Up-gradation to two lane with Paved Shoulder configuration from existing km. 130.00 to km.150.000 (Design length 20.00) of NH-227A (Barhalganj to Patna ghat) in the state of Uttar Pradesh on Engineering, Procurement &Construction (EPC) basis Contract",,150,10,140,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60149
1071,60151,CE-NH (PWD) Uttar Pradesh,"Construction of four lane NH-227 B km 0.000 to 235.900 of 84 Kosi Parikrama Marg for building (widening / four lane), maintenance, management and operation in District Basti in the state of Uttar Pradesh.",,500,10,490,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60151
1072,60155,CE-NH (PWD) Uttar Pradesh,Acquisition of land in respect of National Highway No. 219 (Bihar Border- Chandauli Road) in the State of Uttar-Pradesh on the stretch from (Design Chainage Km 44+470 to 55+073),,100,0.88,99.12,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60155
1073,60157,RO Ranchi,Widening and Strengthening/Re-construction of existing pavement to two lane with paved shoulders from Km 116.000 to Km 176.221 [Chakradharpur - Chaibasa - Hatgamharia] of NH-75E,,50,0,50,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60157
1074,60159,CE-NH (PEW) Andhra Pradesh,Rehabilitation & Up-gradation of existing road to four lane with paved shoulder from Km 0/0 to 56/500 (Muddanur to B.Kothapalli) of NH-716G in the state of Andhra pradesh on EPC mode,,200,30,170,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60159
1075,60160,CE-NH (PEW) Andhra Pradesh,"Rehabilitation and Up gradation of NH-167AD from Macherla to Dachepalli (via) Paluvai Junction, Rentachintala, Gurazala from Km 0.000 to Km 39.006 (SH 021 from Km. 173/934 to Km.212/940 Macherla to Dachepalli) section to Two-lane paved shoulder including bypass to Macherla in the State of Andhra Pradesh",,195,32.1,162.9,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60160
1076,60171,CE-NH (PWD) Uttar Pradesh,"Construction of four lane NH-227 B km 0.000 to 235.900 of 84 Kosi Parikrama Marg for building (widening / four lane), maintenance, management and operation in District Ambedkar Nagar in the state of Uttar Pradesh.",,100,0,100,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60171
1077,60173,CE-NH (PWD) Uttar Pradesh,Land Acquisition on National Highway No. 731B from Km 0.000 to Km 49.200 in Jaunpur District in the state of Uttar Pradesh,,60.18,0,60.18,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60173
1078,60174,CE-NH (PWD) Uttar Pradesh,Land Acquisition on National Highway No. 731B from Km 0.000 to Km 49.200 in Pryagraj District in the state of Uttar Pradesh.,,20.831,0,20.831,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60174
1079,60175,CE-NH (PWD) Uttar Pradesh,Land Acquisition on National Highway No. 731B from Km 23.600to Km 24.500/26.800 to km .70.060 in Bhadohi District in the state of Uttar Pradesh,,220.705,2,218.705,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60175
1080,60176,CE-NH (PWD) Uttar Pradesh,Land Acquisition on National Highway No. 731B from Km 49.200 to Km 89.266 in Varanasi District in the state of Uttar Pradesh,,58.607,0,58.607,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60176
1081,60177,CE-NH (PWD) Uttar Pradesh,"Construction of four lane NH-227 B km 0.000 to 235.900 of 84 Kosi Parikrama Marg for building (widening / four lane), maintenance, management and operation in District Ayodhya in the state of Uttar Pradesh.",,2200,50,2150,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60177
1082,60178,CE-NH (PEW) Andhra Pradesh,Rehabilitation and upgradation of NH-544D from two lane to 4-lane from Km.0/00 00 to 5/400 of Anantapuramu to Guntur road in the state of Andhra Pradesh through Engineering Procurement Construction,,0.41,0,0.41,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60178
1083,60181,CE-NH (PWD) Uttar Pradesh,"Construction of four lane NH 227-B Km 0.000 to Km. 235.900 of 84 Kosi Parikarama Marg for Building (widening / four lane), maintenance, management and operation in District Barabanki in the State of Uttar Pradesh.",,130,2.16,127.84,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60181
1084,60184,CE-NH (PWD) Uttar Pradesh,Consultancy Services for feasibility study and preparation of Detailed Project Report for improvement and up-gradation of in principle and newly declared National Highway-124D (Mardah to Saidpur) in the state of Uttar Pradesh.,,150,10,140,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60184
1085,60198,CE-NH (PWD Mahrashtra),"Up-gradation of Tirora-Gondia, State Highway from existing km 163+213 (On SH-335, Tirora) to km 191+456 (On SH-335, Gondia Jn) [Design km.87.000 to km. 115.200] (Construction Length=28.200 km) NH 753 to Two lane with paved shoulders in the state of Maharashtra EPC Mode Basis Contract.",,76.244,72.046,4.198,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60198
1086,60199,CE-NH (PWD Mahrashtra),"Up Gradation to Two/Four Lane with Paved Shoulder Configuration of National highway 543 in Stretch from from Amgaon to Gondia, Length: 20.075 Km PackageIII. From Amgaon At Km. 38.200 (Ex. Km. 213.330 of SH 249) upto Gondia at Km.58.275(Ex.Km.193.00 of SH249) in the State of Maharashtra on Engineering, Procurement & Construction (EPC) Mode Basis contract.",,61.597,14.5052,47.0918,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60199
1087,60200,CE-NH (PWD) Uttar Pradesh,"Construction of four lane NH 227-B Km 0.000 to Km. 235.900 of 84 Kosi Parikarama Marg for Building (widening / four lane), maintenance, management and operation in District Gonda in the State of Uttar Pradesh-1",,500,0,500,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60200
1088,60202,CE-NH (PEW) Andhra Pradesh,â€œ Construction of Major bridge across Papagni river at Km 153/200 of NH-716 in the state of Andhra Pradesh,,25,0,25,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60202
1089,60205,CE-NH (PWD) Uttar Pradesh,Land acquisition on National Highway No.92 from km. 70.500 to km 78.100 (Kamet to Barhi Section) of Etawah District in the State of Uttar Pradesh.,,50,0,50,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60205
1090,60206,(RO Kerala),"Capacity Augmentation to 2 lanes with paved shoulders for the stretch from KM 160/300 (Mundakayam, Ktym) to KM 215/450 (kumily, Idukki) of kerala NH-183",,70,15,55,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60206
1091,60207,(RO Kerala),"Capacity Augmentation to 2 lanes with paved shoulders for the stretch from KM 0/000-Adimali Junction, Idukki-NH 85 to KM 83/940-Kumily,Idukki of kerala NH-185",,481,75.945,405.055,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60207
1092,60208,(RO Kerala),"Capacity Augmentation to 2 lanes with paved shoulders for the stretch from KM 106/700(Kottayam) to KM 137/000 (Ponkunnam, Kottayam) 0f kerala NH-183",,8,4,4,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60208
1093,60209,(RO Kerala),"Capacity Augmentation to 2 lanes with paved shoulders for the stretch from KM 5/000 (Malaparambu, Kkd) to KM 40/000 (Puthupady,Kkd) of kerala NH -766",,81,6,75,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60209
1094,60212,CE-NH (PWD) Uttar Pradesh,Acquisition of Land for construction of Ring Road in Basti district in the state of Uttar Pradesh.,,100,20,80,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60212
1095,60223,CE-NH (PWD) Uttar Pradesh,Land acquisition for the stretch from Km 420.000 to Km 452.160 of National Highway No 730 in Siddharthnagar District in the State of Uttar Pardesh,,270,10,260,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60223
1096,60224,CE-NH (PWD) Uttar Pradesh,Land acquisition for the stretch from Km 452.160 to Km 454.643 of National Highway No 730 in Maharajganj District in the State of Uttar Pardesh.,,100,10,90,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60224
1097,60226,CE-NH (PWD) Uttar Pradesh,Land Acquisition on National Highway No. 731A from Km 64.682 to Km 112.950 in fatehpur District in the state of Uttar Pradesh.,,50,0,50,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60226
1098,60227,CE-NH (PEW) Andhra Pradesh,"Widening and Reconstruction of Muddanur to Hindupur Section of NH-716G from two lane to four lane from Km.56/400 to Km.120/300 (i.e., from B.Kothapalli Junction to Gorantla) (excluding Kadiri Bypass from Km.70+200 to 77+105) in the state of Andhra Pradesh on EPC mode under Annual Plan 2021-22.",,220,50,170,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60227
1099,60229,CE-NH (PEW) Andhra Pradesh,Rehabilitation and Up-gradation of NH-565 from Km 86/057 to Km 132/920 Nagarjuna Sagar Dam to Davulapally section to Tow lane with paved shoulder in the State of Andhra Pradesh through EPC mode under Annual Plan 2020-21,,190.589,107.019,83.57,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60229
1100,60230,CE-NH (PWD) Punjab,Development of four-lanes with paved side shoulder of Tallewal - Barnala Section of NH-71[New NH No.703] from existing km.114 tokm.136.07 including construction of Barnala bypass from existing km.136.070 of NH-71 to existing km.149.00 of NH-64 in the state of Punjab under NHDP-IV NHDP,,150,0,150,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60230
1101,60231,(RO Bangalore),Widening to 4 lane from Km.51.60 to 76.20 (Hebri to parkala ) and from Km.85.200 to 88.900\*\*( Karavali Junction to Malpe) Thirthahalli-Udupi-Malpe Section of NH-169A in the State of Karnataka. (Job No. NH-169A-knt-2021-22-927),,35,0,35,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60231
1102,60234,(RO Bangalore),Widennig to Two lanes with paved shoulder from Km. 0.00 to Km. 12.00 of NH 561A Vijayapura to Siddapur in the state of Karnataka,,50,0,50,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60234
1103,60235,(RO Dehradun),Consultancy Services For Project Management Phase 1 including preparation of Detailed Project Report of Rameshwar-Gangolihat-Berinag-Chaukori-Kanda-Bagheshwar-Takula-Almora of National Highway-309A in the state of uttarakhand for up gradation to Two/Four lane with paved shoulder configuration (Lot-IV) (package-NH/IAHE/54),,50,0,50,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60235
1104,60236,(RO Dehradun),LAND ACQUISITION FROM KM 200 TO KM 500,,10,0,10,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60236
1105,60237,(RO Dehradun),Land Acquisition for consultancy services for project Management Phase 1 Including preparation of Detailed project Report of Rameshwar-Berinag-Chaukori-Kanda-Bagheshwar-Takula-Almora of NH-309A in the district of Almora in the state of uttarakhand for up gradation to two/four lane with paved shoulder configuration (package-NH-IAHE/54),,30,0,30,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60237
1106,60238,RO Raipur,Construction of R.O.B in LC NO. RV-30 Belsonda on NH-353 (old Nh-217) in the State of chhattisgarh,,43.318,40.818,2.5,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60238
1107,60240,(RO Bangalore),Construction Major bridge across River Malaprabha at Km 115.50 on NH-218 (job No.218-KNT-2008-551) Legacy Data,,5,0,5,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60240
1108,60242,CE-NH (PEW) Andhra Pradesh,Rehabilitation and Upgradation of existing 2 lane to 4 lane from Tadipatri to Muddanur in Km 476/0 to 523/500 to Hubli - Krishnapatnam road in NH -67 under NH ( O ) in the state of Andhra Pradesh on Engineering procurement and constructions EPC mode .,,100,25,75,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60242
1109,60243,RO Raipur,Construction of Mallin Nalla Bridge NH No-130B km. 90.460 in the state of Chhattisgarh,,30,25,5,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60243
1110,60246,CE-NH (PWD) Haryana,Construction of Vehicular Underpass at km 90.400 of Rohtak-Bhiwani road (NH-709E).,,4.6,3,1.6,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60246
1111,60247,CE-NH (PWD Mahrashtra),"Rehabilitation & Upgradation of Jalgaon â€“Bhadgaon-Chalisgaon-Nandgaon-Manmad Road NH-753 J to Two lane/Four Lane with paved shoulder configuration from Nandgaon to Manmad ( Ch.147/425 Km. to 168/800 Km.,- Length 21.375 Km. ) Section of NH- 753 in the State of Maharashtra on EPC.",,80.24,55.975,24.265,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60247
1112,60251,(RO Bangalore),"Construction of building four lining, etc.) maintenance, management and of National Highways No. 13 in the stretch of land from Km 422.00 to Km 523.600 Chitradurga Shimoga section in the State of KARNATAKA.",,26,0,26,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60251
1113,60252,RO Ranchi,Widening/Reconstruction to 2-lane with paved shoulder/Four lane of NH-320G from Km 43.000 to 89.000 (Package-II) in West Singhabhum District of Jharkhand State.,,100,0,100,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60252
1114,60253,RO Ranchi,Widening/Reconstruction to 2-lane with paved shoulder/Four lane of NH-320G (Package-3) from Km 98.000 to Km 122.700 (Manoharpur to Anandpur Hatbazar) in West Singhabhum District of Jharkhand State.,,100,0,100,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60253
1115,60255,RO Ranchi,Land Acquisition for Construction of Manoharpur Bypass of NH-320G from Km 88.400 to Km 93.500 in the State of Jharkhand,,50,0,50,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60255
1116,60256,(RO Bangalore),Widening to Two lane with paved shoulders from Km. 33.160 to Km. 39.950 and National Highway 367 Bhanapur Gaddanakeri section in the state of Karnataka.,,14,0,14,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=60256
